code_name,type,from,to,Month_from,Day_from,time_from,Month_to,Day_to,time_to,Sum of Sum of f_price,Sum of Sum of fees,Sum of Sum of total_price
Vietnam Airlines,Economy (EG)-M,Hà Nội,TP HCM,April,6,1899-12-30 07:00:00,April,6,1899-12-30 09:15:00,5658000,1806000,7464000
Vietnam Airlines,Economy (EG)-M,TP HCM,Hà Nội,May,3,1899-12-30 09:00:00,May,3,1899-12-30 11:10:00,5658000,1806000,7464000
Vietnam Airlines,Business (BF)-J,Phú Quốc,Hà Nội,April,4,1899-12-30 03:45:00,April,4,1899-12-30 06:00:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Phú Quốc,Hà Nội,April,25,1899-12-30 07:00:00,April,25,1899-12-30 09:15:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Hà Nội,Phú Quốc,April,30,1899-12-30 03:20:00,April,30,1899-12-30 05:35:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Hà Nội,Nha Trang,April,30,1899-12-30 07:10:00,April,30,1899-12-30 09:10:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Hà Nội,Nha Trang,April,30,1899-12-30 12:25:00,April,30,1899-12-30 02:25:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Nha Trang,Hà Nội,May,3,1899-12-30 06:50:00,May,3,1899-12-30 08:50:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Phú Quốc,Hà Nội,May,3,1899-12-30 11:30:00,May,3,1899-12-30 01:45:00,5309000,1151000,6460000
Bamboo Airways,Buz Flex,Hà Nội,Phú Quốc,April,3,1899-12-30 02:00:00,April,3,1899-12-30 04:05:00,5300000,1152000,6452000
Bamboo Airways,Buz Flex,Phú Quốc,Hà Nội,April,4,1899-12-30 05:55:00,April,4,1899-12-30 08:00:00,5300000,1152000,6452000
Bamboo Airways,Buz Flex,Phú Quốc,Hà Nội,April,24,1899-12-30 05:55:00,April,24,1899-12-30 08:00:00,5300000,1152000,6452000
Bamboo Airways,Buz Flex,Phú Quốc,Hà Nội,May,2,1899-12-30 05:55:00,May,2,1899-12-30 08:00:00,5300000,1152000,6452000
Vietnam Airlines,Business (BF)-C,Phú Quốc,Hà Nội,April,4,1899-12-30 01:25:00,April,4,1899-12-30 03:40:00,4609000,1081000,5690000
Vietnam Airlines,Business (BF)-C,Phú Quốc,Hà Nội,April,25,1899-12-30 01:25:00,April,25,1899-12-30 03:40:00,4609000,1081000,5690000
Vietnam Airlines,Business (BF)-C,Phú Quốc,Hà Nội,April,25,1899-12-30 11:30:00,April,25,1899-12-30 01:45:00,4609000,1081000,5690000
Vietnam Airlines,Business (BF)-C,Nha Trang,Hà Nội,May,2,1899-12-30 11:55:00,May,2,1899-12-30 01:55:00,4609000,1081000,5690000
Bamboo Airways,Buz Flex,Đà Lạt,Hà Nội,April,4,1899-12-30 08:00:00,April,4,1899-12-30 09:50:00,4600000,1082000,5682000
Bamboo Airways,Buz Flex,Hà Nội,Nha Trang,April,30,1899-12-30 12:15:00,April,30,1899-12-30 02:05:00,4600000,1082000,5682000
Bamboo Airways,Buz Flex,Nha Trang,Hà Nội,May,2,1899-12-30 02:50:00,May,2,1899-12-30 04:40:00,4600000,1082000,5682000
Bamboo Airways,Buz Flex,Nha Trang,Hà Nội,May,3,1899-12-30 02:50:00,May,3,1899-12-30 04:40:00,4600000,1082000,5682000
Bamboo Airways,Buz Flex,Nha Trang,Hà Nội,May,3,1899-12-30 10:55:00,May,3,1899-12-30 12:45:00,4600000,1082000,5682000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,6,1899-12-30 07:00:00,April,6,1899-12-30 09:05:00,4500000,1072000,5572000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,28,1899-12-30 02:00:00,April,28,1899-12-30 04:05:00,4500000,1072000,5572000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,May,2,1899-12-30 12:50:00,May,2,1899-12-30 02:55:00,4500000,1072000,5572000
Vietnam Airlines,Business (BC)-D,Phú Quốc,Hà Nội,May,2,1899-12-30 07:00:00,May,2,1899-12-30 09:15:00,4309000,1051000,5360000
Pacific Airlines,Economy (EG)-M,TP HCM,Đà Nẵng,April,30,1899-12-30 06:15:00,April,30,1899-12-30 07:35:00,3658000,1606000,5264000
Vietnam Airlines,Economy (EG)-M,Đà Nẵng,TP HCM,May,3,1899-12-30 11:55:00,May,3,1899-12-30 01:25:00,3658000,1606000,5264000
Vietnam Airlines,Economy (EC)-R,TP HCM,Hà Nội,April,29,1899-12-30 09:00:00,April,29,1899-12-30 11:10:00,3027000,2163000,5190000
Vietjet,Eco,Hà Nội,Đà Nẵng,April,30,1899-12-30 01:35:00,April,30,1899-12-30 02:55:00,3580000,1580000,5160000
Vietnam Airlines,Business (BC)-I,Hà Nội,Phú Quốc,April,3,1899-12-30 10:30:00,April,3,1899-12-30 12:45:00,4109000,1031000,5140000
Vietnam Airlines,Business (BC)-I,Nha Trang,Hà Nội,April,11,1899-12-30 07:25:00,April,11,1899-12-30 09:25:00,4109000,1031000,5140000
Vietnam Airlines,Business (BC)-I,Phú Quốc,Hà Nội,April,12,1899-12-30 03:45:00,April,12,1899-12-30 06:00:00,4109000,1031000,5140000
Vietnam Airlines,Business (BC)-I,Nha Trang,Hà Nội,April,18,1899-12-30 03:05:00,April,18,1899-12-30 05:05:00,4109000,1031000,5140000
Vietnam Airlines,Business (BC)-I,Nha Trang,Hà Nội,April,25,1899-12-30 03:05:00,April,25,1899-12-30 05:05:00,4109000,1031000,5140000
Vietnam Airlines,Business (BC)-I,Hà Nội,Cần Thơ,April,25,1899-12-30 07:20:00,April,25,1899-12-30 09:40:00,4109000,1031000,5140000
Vietnam Airlines,Business (BC)-I,Hà Nội,Cần Thơ,April,25,1899-12-30 10:50:00,April,25,1899-12-30 01:10:00,4109000,1031000,5140000
Vietnam Airlines,Business (BC)-I,Phú Quốc,Hà Nội,April,28,1899-12-30 03:45:00,April,28,1899-12-30 06:00:00,4109000,1031000,5140000
Vietnam Airlines,Business (BC)-I,Phú Quốc,Hà Nội,April,29,1899-12-30 03:45:00,April,29,1899-12-30 06:00:00,4109000,1031000,5140000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,1,1899-12-30 07:00:00,April,1,1899-12-30 09:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,2,1899-12-30 07:00:00,April,2,1899-12-30 09:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,3,1899-12-30 05:55:00,April,3,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,4,1899-12-30 02:00:00,April,4,1899-12-30 04:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,5,1899-12-30 07:00:00,April,5,1899-12-30 09:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,6,1899-12-30 02:00:00,April,6,1899-12-30 04:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,6,1899-12-30 05:55:00,April,6,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,7,1899-12-30 02:00:00,April,7,1899-12-30 04:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,7,1899-12-30 07:00:00,April,7,1899-12-30 09:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,8,1899-12-30 05:55:00,April,8,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,9,1899-12-30 05:55:00,April,9,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,10,1899-12-30 05:55:00,April,10,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,10,1899-12-30 07:00:00,April,10,1899-12-30 09:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,13,1899-12-30 05:55:00,April,13,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,13,1899-12-30 07:00:00,April,13,1899-12-30 09:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,14,1899-12-30 05:55:00,April,14,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,14,1899-12-30 10:00:00,April,14,1899-12-30 12:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,16,1899-12-30 05:55:00,April,16,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,17,1899-12-30 02:00:00,April,17,1899-12-30 04:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Hà Nội,Phú Quốc,April,19,1899-12-30 02:00:00,April,19,1899-12-30 04:05:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,20,1899-12-30 05:55:00,April,20,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,22,1899-12-30 09:50:00,April,22,1899-12-30 11:55:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,25,1899-12-30 05:55:00,April,25,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,25,1899-12-30 12:50:00,April,25,1899-12-30 02:55:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,26,1899-12-30 05:55:00,April,26,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,26,1899-12-30 12:50:00,April,26,1899-12-30 02:55:00,3900000,1012000,4912000
Bamboo Airways,Buz smart,Phú Quốc,Hà Nội,April,27,1899-12-30 05:55:00,April,27,1899-12-30 08:00:00,3900000,1012000,4912000
Bamboo Airways,Eco Flex,Hà Nội,Đà Nẵng,April,9,1899-12-30 09:30:00,April,9,1899-12-30 10:50:00,3250000,1569000,4819000
Vietnam Airlines,Business (BF)-C,Hà Nội,Đà Lạt,April,30,1899-12-30 07:45:00,April,30,1899-12-30 09:40:00,3809000,1001000,4810000
Bamboo Airways,Buz Flex,Quy Nhơn,Hà Nội,May,3,1899-12-30 03:10:00,May,3,1899-12-30 04:50:00,3800000,1002000,4802000
Vietnam Airlines,Business (BF)-J,Quy Nhơn,Hà Nội,May,3,1899-12-30 04:30:00,May,3,1899-12-30 06:10:00,3709000,991000,4700000
Bamboo Airways,Buz smart,Nha Trang,Hà Nội,April,4,1899-12-30 04:15:00,April,4,1899-12-30 06:05:00,3700000,992000,4692000
Bamboo Airways,Buz smart,Nha Trang,Hà Nội,April,4,1899-12-30 05:00:00,April,4,1899-12-30 06:50:00,3700000,992000,4692000
Bamboo Airways,Buz smart,Nha Trang,Hà Nội,April,18,1899-12-30 02:50:00,April,18,1899-12-30 04:40:00,3700000,992000,4692000
Bamboo Airways,Eco Flex,Hà Nội,Phú Quốc,April,3,1899-12-30 03:00:00,April,3,1899-12-30 05:05:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Hà Nội,Phú Quốc,April,3,1899-12-30 07:00:00,April,3,1899-12-30 09:05:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Cần Thơ,Hà Nội,April,4,1899-12-30 08:40:00,April,4,1899-12-30 10:50:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Hà Nội,Phú Quốc,April,8,1899-12-30 07:00:00,April,8,1899-12-30 09:05:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Hà Nội,Phú Quốc,April,9,1899-12-30 07:00:00,April,9,1899-12-30 09:05:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Phú Quốc,Hà Nội,April,11,1899-12-30 05:55:00,April,11,1899-12-30 08:00:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Hà Nội,Phú Quốc,April,17,1899-12-30 07:00:00,April,17,1899-12-30 09:05:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Phú Quốc,Hà Nội,April,18,1899-12-30 12:50:00,April,18,1899-12-30 02:55:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Hà Nội,Phú Quốc,April,30,1899-12-30 07:00:00,April,30,1899-12-30 09:05:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Hà Nội,Phú Quốc,April,30,1899-12-30 10:00:00,April,30,1899-12-30 12:05:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Phú Quốc,Hà Nội,May,3,1899-12-30 05:55:00,May,3,1899-12-30 08:00:00,3380000,960000,4340000
Bamboo Airways,Eco Flex,Phú Quốc,Hà Nội,May,3,1899-12-30 12:50:00,May,3,1899-12-30 02:55:00,3380000,960000,4340000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,1,1899-12-30 10:30:00,April,1,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Cần Thơ,Hà Nội,April,2,1899-12-30 07:15:00,April,2,1899-12-30 09:30:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,2,1899-12-30 08:20:00,April,2,1899-12-30 10:35:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,2,1899-12-30 10:30:00,April,2,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,2,1899-12-30 12:50:00,April,2,1899-12-30 03:05:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,3,1899-12-30 07:30:00,April,3,1899-12-30 09:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,4,1899-12-30 07:00:00,April,4,1899-12-30 09:15:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Cần Thơ,Hà Nội,April,4,1899-12-30 07:15:00,April,4,1899-12-30 09:30:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,4,1899-12-30 10:30:00,April,4,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,4,1899-12-30 11:30:00,April,4,1899-12-30 01:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,5,1899-12-30 03:45:00,April,5,1899-12-30 06:00:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,5,1899-12-30 06:30:00,April,5,1899-12-30 08:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Cần Thơ,April,5,1899-12-30 10:50:00,April,5,1899-12-30 01:00:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,6,1899-12-30 08:20:00,April,6,1899-12-30 10:35:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,6,1899-12-30 12:50:00,April,6,1899-12-30 03:05:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,8,1899-12-30 07:55:00,April,8,1899-12-30 10:10:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,9,1899-12-30 08:20:00,April,9,1899-12-30 10:35:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,9,1899-12-30 10:30:00,April,9,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,10,1899-12-30 06:30:00,April,10,1899-12-30 08:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,10,1899-12-30 08:20:00,April,10,1899-12-30 10:35:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,10,1899-12-30 10:30:00,April,10,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,11,1899-12-30 01:25:00,April,11,1899-12-30 03:40:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,11,1899-12-30 03:45:00,April,11,1899-12-30 06:00:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,11,1899-12-30 07:00:00,April,11,1899-12-30 09:15:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,11,1899-12-30 09:00:00,April,11,1899-12-30 11:05:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,11,1899-12-30 11:30:00,April,11,1899-12-30 01:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,12,1899-12-30 08:20:00,April,12,1899-12-30 10:35:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,12,1899-12-30 10:30:00,April,12,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,13,1899-12-30 01:25:00,April,13,1899-12-30 03:40:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,16,1899-12-30 08:20:00,April,16,1899-12-30 10:35:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,16,1899-12-30 10:30:00,April,16,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,17,1899-12-30 08:20:00,April,17,1899-12-30 10:35:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,17,1899-12-30 10:30:00,April,17,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,18,1899-12-30 01:25:00,April,18,1899-12-30 03:40:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,18,1899-12-30 03:45:00,April,18,1899-12-30 06:00:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,18,1899-12-30 07:00:00,April,18,1899-12-30 09:15:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,18,1899-12-30 09:00:00,April,18,1899-12-30 11:05:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,19,1899-12-30 03:45:00,April,19,1899-12-30 06:00:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,19,1899-12-30 10:30:00,April,19,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,April,22,1899-12-30 03:45:00,April,22,1899-12-30 06:00:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,23,1899-12-30 08:20:00,April,23,1899-12-30 10:35:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,23,1899-12-30 10:30:00,April,23,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,24,1899-12-30 08:20:00,April,24,1899-12-30 10:35:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,24,1899-12-30 10:30:00,April,24,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,28,1899-12-30 05:55:00,April,28,1899-12-30 08:10:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,28,1899-12-30 10:30:00,April,28,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,29,1899-12-30 03:20:00,April,29,1899-12-30 05:35:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,29,1899-12-30 07:55:00,April,29,1899-12-30 10:10:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,29,1899-12-30 10:30:00,April,29,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Hà Nội,Phú Quốc,April,30,1899-12-30 10:30:00,April,30,1899-12-30 12:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,May,1,1899-12-30 03:45:00,May,1,1899-12-30 06:00:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,May,1,1899-12-30 06:30:00,May,1,1899-12-30 08:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,May,2,1899-12-30 01:25:00,May,2,1899-12-30 03:40:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,May,2,1899-12-30 11:30:00,May,2,1899-12-30 01:45:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,May,3,1899-12-30 01:40:00,May,3,1899-12-30 03:55:00,3379000,958000,4337000
Vietnam Airlines,Economy (EG)-M,Phú Quốc,Hà Nội,May,3,1899-12-30 06:30:00,May,3,1899-12-30 08:45:00,3379000,958000,4337000
Vietjet,Eco,Phú Quốc,Hà Nội,April,2,1899-12-30 05:10:00,April,2,1899-12-30 07:15:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,3,1899-12-30 05:10:00,April,3,1899-12-30 07:15:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,4,1899-12-30 05:10:00,April,4,1899-12-30 07:15:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,5,1899-12-30 06:30:00,April,5,1899-12-30 08:35:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,5,1899-12-30 08:40:00,April,5,1899-12-30 10:45:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,5,1899-12-30 10:05:00,April,5,1899-12-30 12:10:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,5,1899-12-30 11:20:00,April,5,1899-12-30 01:25:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,6,1899-12-30 06:30:00,April,6,1899-12-30 08:35:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,6,1899-12-30 10:05:00,April,6,1899-12-30 12:10:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,9,1899-12-30 02:35:00,April,9,1899-12-30 04:35:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,9,1899-12-30 06:30:00,April,9,1899-12-30 08:35:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,9,1899-12-30 07:45:00,April,9,1899-12-30 09:45:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,9,1899-12-30 10:45:00,April,9,1899-12-30 12:50:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,10,1899-12-30 02:35:00,April,10,1899-12-30 04:35:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,10,1899-12-30 06:30:00,April,10,1899-12-30 08:35:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,10,1899-12-30 07:45:00,April,10,1899-12-30 09:45:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,10,1899-12-30 10:45:00,April,10,1899-12-30 12:50:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,11,1899-12-30 02:35:00,April,11,1899-12-30 04:35:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,11,1899-12-30 05:20:00,April,11,1899-12-30 07:35:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,11,1899-12-30 06:30:00,April,11,1899-12-30 08:35:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,11,1899-12-30 07:45:00,April,11,1899-12-30 09:45:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,11,1899-12-30 10:45:00,April,11,1899-12-30 12:50:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,11,1899-12-30 10:50:00,April,11,1899-12-30 12:55:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,12,1899-12-30 06:30:00,April,12,1899-12-30 08:35:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,12,1899-12-30 08:40:00,April,12,1899-12-30 10:40:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,12,1899-12-30 10:45:00,April,12,1899-12-30 12:50:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,12,1899-12-30 11:10:00,April,12,1899-12-30 01:05:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,13,1899-12-30 06:30:00,April,13,1899-12-30 08:35:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,13,1899-12-30 10:45:00,April,13,1899-12-30 12:50:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,16,1899-12-30 02:35:00,April,16,1899-12-30 04:35:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,16,1899-12-30 06:30:00,April,16,1899-12-30 08:35:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,16,1899-12-30 07:45:00,April,16,1899-12-30 09:45:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,16,1899-12-30 10:45:00,April,16,1899-12-30 12:50:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,17,1899-12-30 02:35:00,April,17,1899-12-30 04:35:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,17,1899-12-30 06:30:00,April,17,1899-12-30 08:35:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,17,1899-12-30 07:45:00,April,17,1899-12-30 09:45:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,17,1899-12-30 10:45:00,April,17,1899-12-30 12:50:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,18,1899-12-30 02:35:00,April,18,1899-12-30 04:35:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,18,1899-12-30 05:20:00,April,18,1899-12-30 07:35:00,3340000,945000,4285000
Vietjet,Eco,Hà Nội,Phú Quốc,April,18,1899-12-30 06:30:00,April,18,1899-12-30 08:35:00,3340000,945000,4285000
Vietjet,Eco,Phú Quốc,Hà Nội,April,18,1899-12-30 07:45:00,April,18,1899-12-30 09:45:00,3340000,945000,4285000
